
C2H2	-251.494115923	-251.328893655	-0.165222268019
C2H4	-270.688542704	-270.580658024	-0.107884680154
C2H6	-288.500445804	-288.454678731	-0.0457670736517
CH3OH	-341.371479846	-341.36115185	-0.0103279961009
CH4	-152.229874052	-152.205647833	-0.0242262190712
CO	-305.112271823	-304.964540903	-0.147730919626
CO2	-495.584555558	-495.45705888	-0.127496678826
H2	-15.6333062739	-15.7304821416	0.0971758677148
H2O	-205.259933135	-205.337462853	0.0775297187749
HCN	-276.891990253	-276.607257793	-0.284732460625
HNC	-276.80345662	-276.573660988	-0.229795631473
N2	-300.748773291	-300.271298235	-0.477475056588
N2O	-489.449966457	-489.178298959	-0.271667498298
NH3	-176.725234648	-176.640688155	-0.084546492888
O3	-560.158355969	-560.338548479	0.18019250982
