
C2H2	-251.494115923	-251.500712118	0.00659619528743
C2H4	-270.688542704	-270.622852629	-0.0656900751721
C2H6	-288.500445804	-288.432389136	-0.0680566681456
CH3OH	-341.371479846	-341.125423303	-0.246056542991
CH4	-152.229874052	-152.323956433	0.0940823811668
CO	-305.112271823	-305.053973086	-0.0582987368913
CO2	-495.584555558	-495.147702367	-0.436853191395
H2	-15.6333062739	-16.1361149649	0.502808690979
H2O	-205.259933135	-205.314136409	0.0542032743115
HCN	-276.891990253	-276.687270006	-0.204720247309
HNC	-276.80345662	-276.58086103	-0.222595589809
N2	-300.748773291	-300.345668187	-0.403105103872
N2O	-489.449966457	-488.680569785	-0.769396671969
NH3	-176.725234648	-176.574609697	-0.150624951051
O3	-560.158355969	-559.571567766	-0.586788202774
