
C2H2	-296.340853894	6291.77241824	-6588.11327213
C2H4	-320.402999181	6067.54226707	-6387.94526625
C2H6	-342.296085378	5844.22217971	-6186.51826509
CH3OH	-404.142039156	5842.02434944	-6246.16638859
CH4	-180.749399568	6738.63275938	-6919.38215894
CO	-359.204217164	6289.65410774	-6648.85832491
CO2	-584.610537819	5393.4473019	-5978.05783972
H2	-18.7854603461	7635.75485912	-7654.54031947
H2O	-242.959871894	6737.97933608	-6980.93920797
HCN	-326.416839049	6290.38006779	-6616.79690684
HNC	-326.29099822	6290.58605895	-6616.87705717
N2	-354.194362885	6289.14935147	-6643.34371435
N2O	-577.463609795	5394.25564426	-5971.71925406
NH3	-209.557288607	6738.38286315	-6947.94015176
O3	-660.709741989	5168.42192201	-5829.131664
