
C2H2	-251.494115923	-251.393544103	-0.100571820396
C2H4	-270.688542704	-270.877789276	0.189246571308
C2H6	-288.500445804	-289.222239056	0.721793251831
CH3OH	-341.371479846	-340.908215062	-0.463264783263
CH4	-152.229874052	-151.431482754	-0.79839129815
CO	-305.112271823	-303.878526874	-1.2337449483
CO2	-495.584555558	-494.46047447	-1.12408108883
H2	-15.6333062739	-13.3195370701	-2.31376920379
H2O	-205.259933135	-203.260335971	-1.99959716307
HCN	-276.891990253	-275.842826915	-1.04916333779
HNC	-276.80345662	-276.050975997	-0.752480623011
N2	-300.748773291	-299.116203499	-1.63256979197
N2O	-489.449966457	-488.030090167	-1.41987628997
NH3	-176.725234648	-175.483115188	-1.24211946037
O3	-560.158355969	-558.274766807	-1.88358916227
