
C2H2	-251.494115923	-251.934659843	0.440543920294
C2H4	-270.688542704	-271.878794298	1.19025159379
C2H6	-288.500445804	-290.320745334	1.82029952954
CH3OH	-341.371479846	-342.708576004	1.33709615868
CH4	-152.229874052	-152.80415403	0.574279977679
CO	-305.112271823	-305.21131554	0.0990437170504
CO2	-495.584555558	-496.678661786	1.09410622789
H2	-15.6333062739	-15.0748290746	-0.558477199289
H2O	-205.259933135	-205.390049442	0.130116307649
HCN	-276.891990253	-277.642449215	0.750458961851
HNC	-276.80345662	-277.411089214	0.60763259434
N2	-300.748773291	-301.707829928	0.959056636372
N2O	-489.449966457	-491.126467002	1.67650054436
NH3	-176.725234648	-177.132450637	0.407215988236
O3	-560.158355969	-561.193559601	1.0352036321
